           1     1.09944     1.09944           0
           2     1.09497     1.09721  0.00158094
           3     1.10588      1.1001  0.00258529
           4      1.0911     1.09785  0.00274912
           5      1.0938     1.09704   0.0023156
           6     1.08569     1.09515   0.0025898
           7     1.09458     1.09507  0.00222111
           8     1.09262     1.09476  0.00196448
           9     1.08613      1.0938  0.00196626
          10     1.10849     1.09527   0.0022524
          11      1.1129     1.09687  0.00255521
          12      1.0867     1.09603  0.00247879
          13     1.10479      1.0967  0.00237804
          14     1.07791     1.09536  0.00255908
          15     1.09643     1.09543  0.00238947
          16     1.08972     1.09507   0.0022666
          17     1.09002     1.09477  0.00215265
          18     1.10588     1.09539   0.0021197
          19     1.09033     1.09513   0.0020248
          20     1.09224     1.09498   0.0019287
          21     1.06792     1.09369  0.00222615
          22     1.09886     1.09393   0.0021373
          23     1.06989     1.09288  0.00228569
          24     1.08081     1.09238  0.00224514
          25      1.1035     1.09282  0.00219897
          26     1.09962     1.09309  0.00212986
          27      1.0771     1.09249  0.00213163
          28     1.10176     1.09282  0.00208104
          29     1.08366     1.09251  0.00203314
          30     1.09722     1.09267  0.00197142
          31     1.06963     1.09192  0.00204302
          32     1.08123     1.09159   0.0020063
          33     1.08605     1.09142  0.00195252
          34     1.11063     1.09199  0.00197514
          35     1.12014     1.09279   0.0020761
          36     1.09528     1.09286  0.00201958
          37     1.10546      1.0932   0.0019935
          38     1.08535     1.09299  0.00195172
          39     1.10749     1.09336  0.00193674
          40     1.07811     1.09298  0.00192552
